Number Order Height Address Amount(Meer) ComProfit(Meer)
3033 780218 695407 MmUng4CfY4RV9mKiWUG9S9A6x8YRDmabBCy 692.00000000 98.29131287
3034 780850 696020 MmMPh1pauGG3k93ZSkgbyEsoM6iEQwowR6o 1000.00000000 142.03946947
3035 780890 696053 MmPdHrY5dm1ztqLaFj8Fe2m2PjqR4fF6qg7 1000.00000000 142.03946947
3036 781252 696356 MmRiMdsjXV5VwJx5mhCkC6LeauVRvBzDyHL 280.00000000 39.77105145
3037 782028 697093 MmecJbb7kuyfrBqMiU5ReLbNAT5VmSs4Ma3 1000.00000000 142.03946947
3038 783533 698375 MmNviYQthctB9tmME78AW2nprJCCpqTptw7 20.00000000 2.84078938
3039 783996 698740 Mmf6sxKjvFZnwmjvEFw8D5T1Je1PD5L781y 1005.00000000 142.74966682
3040 784115 698833 MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 61.00000000 8.66440763
3041 784688 699256 MmYfc3JmygGmzje3RroCcxSxEDHZZF3pjwM 472.00000000 67.04262959
3042 785960 700359 MmWaC5M8EgpWGt6MmtUR3XVjxhm2xF8EnCF 400.00000000 56.81578779
3043 786094 700491 MmLzmofHnENNvugzHQqtoU2g5q8ibi5MJou 76.00000000 10.79499968
3044 786581 700927 MmaHf7YgjMZD5f98iqPrtTQJaenAYU6hU5C 302.00000000 42.89591978
3045 787316 701486 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 521.00000000 74.00256359
3046 787701 701818 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 40.29000000 5.72277022
3047 788362 702420 MmWkvmkeNixaTQjNRyJnemtPKLggQuf13yL 4900.00000000 695.99340043
3048 788382 702438 MmcnmbvX441EdLhxD9SjMnXvhrfJJt1Bx4L 390.00000000 55.39539309
3049 788463 702514 Mmi8oYtiWiaNcos5JHMR4gLmK5s1gFEE8hX 1188.00000000 168.74288973
3050 790353 704236 MmWSXnMoxiZuma4D7TYpQZ6uLFYpiXa8c8X 66.00000000 9.37460498
3051 790513 704373 MmTj8G6QyrAJhunACnLJAz1XQahwLYHyuvN 1042.00000000 148.00512719
3052 790598 704433 MmXrVxonfgmkk3Pidt7GYmjDvv8K6Qq8zTG 10000.00000000 1420.39469476
3053 791384 705140 MmZpp3XPEkazxmw4JG2vu2U6q2GkLqRtCmv 100.00000000 14.20394694
3054 792646 706372 MmeAb38feDmcsVYqTSAHujxdh1Rw4jzZZzV 500.00000000 71.01973473
3055 792730 706455 MmbEEDc4pvSD4oUBWVYFHKmpxhC9fcmWXs6 446.00000000 63.34960338
